row_index,title,peeled_title,normalized_title,noise_removed,token_count,role_hits,domain_hits,noise_hits,occupation_signal,penalty_signal,net_signal,decision,matched_rules
"1","Consilier de vânzări (m/f)","Consilier de vânzări","consilier de vanzari","yes","5","","vanzari","","0.585","0.000","0.585","neutral","domain_modifier:vanzari"
"2","TEHNICIAN-ALPINIST TELECOMUNICATII","TEHNICIAN-ALPINIST TELECOMUNICATII","tehnician alpinist telecomunicatii","no","3","tehnician","","","0.950","0.000","0.950","help","role_head:tehnician"
"3","Operator calculator - Magazin Online","Operator calculator Magazin Online","operator calculator magazin online","yes","4","operator","","","0.900","0.000","0.900","help","role_head:operator"
"4","Manager Resurse Umane","Manager Resurse Umane","manager resurse umane","no","3","manager","","","0.900","0.000","0.900","help","role_head:manager"
"5","Electrician întreţinere şi reparaţii - Acăţari,jud.Mures","Electrician întreţinere şi reparaţii","electrician intretinere si reparatii","yes","7","electrician|electrician intretinere","","","1.000","0.000","1.000","help","role_head:electrician|role_phrase:electrician intretinere"
"6","Electrician -Tehnician retele echipamente electrice,date-voce","Electrician -Tehnician retele echipamente electrice,date-voce","electrician tehnician retele echipamente electrice date voce","no","7","tehnician|electrician","","","1.000","0.000","1.000","help","role_head:tehnician|role_head:electrician"
"7","Consultant Vanzari - Mobexpert Baia Mare","Consultant Vanzari Mobexpert Baia Mare","consultant vanzari mobexpert baia mare","yes","5","consultant","vanzari","","1.000","0.000","1.000","help","role_head:consultant|domain_modifier:vanzari"
"8","Reprezentant Tehnic si Receptioner Tura de Noapte","Reprezentant Tehnic si Receptioner Tura de Noapte","reprezentant tehnic si receptioner tura de noapte","no","7","reprezentant","","","0.840","0.000","0.840","help","role_head:reprezentant"
"9","Specialist management deplasări, secretariat, registratură","Specialist management deplasări, secretariat, registratură","specialist management deplasari secretariat registratura","no","5","specialist","","","0.920","0.000","0.920","help","role_head:specialist"
"10","Asistent Medical Generalist/ Kinetoterapeut/ Cosmetician","Asistent Medical Generalist/ Kinetoterapeut/ Cosmetician","asistent medical generalist kinetoterapeut cosmetician","no","5","asistent","","","0.800","0.000","0.800","help","role_head:asistent"
"11","Lacatus mecanic asamblare","Lacatus mecanic asamblare","lacatus mecanic asamblare","no","3","mecanic","","","0.900","0.000","0.900","help","role_head:mecanic"
"12","Jurist","Jurist","jurist","no","1","jurist","","","0.900","0.000","0.900","help","role_head:jurist"
"13","QUALITY PLANNING ENGINER","QUALITY PLANNING ENGINER","quality planning enginer","no","3","enginer","quality|planning","","1.000","0.000","1.000","help","role_head:enginer|domain_modifier:quality|domain_modifier:planning"
"14","Inginer proiectant instalații","Inginer proiectant instalații","inginer proiectant instalatii","no","3","inginer","","","0.960","0.000","0.960","help","role_head:inginer"
"15","Customer Agent with English and Irish understanding","Customer Agent with English and Irish understanding","customer agent with english and irish understanding","no","7","agent","","","0.820","0.000","0.820","help","role_head:agent"
"16","Asistent Medical Generalist Sectie Chirurgie generală","Asistent Medical Generalist Sectie Chirurgie generală","asistent medical generalist sectie chirurgie generala","no","6","asistent","","","0.800","0.000","0.800","help","role_head:asistent"
"17","Asistent Manager Flota & Administrativ","Asistent Manager Flota & Administrativ","asistent manager flota administrativ","no","4","manager|asistent|asistent manager","","","1.000","0.000","1.000","help","role_head:manager|role_head:asistent|role_phrase:asistent manager"
"18","Senior Specialist Aprovizionare (Piese de Schimb) OTOPENI","Senior Specialist Aprovizionare OTOPENI","senior specialist aprovizionare otopeni","yes","7","specialist|specialist aprovizionare","aprovizionare","senior","1.000","0.720","0.280","neutral","role_head:specialist|generic_noise:senior|domain_modifier:aprovizionare|role_phrase:specialist aprovizionare"
"19","Brand Consultant TOBACCO PLOIESTI","Brand Consultant TOBACCO PLOIESTI","brand consultant tobacco ploiesti","no","4","consultant","","","0.880","0.000","0.880","help","role_head:consultant"
"20","Sales Network Specialist -  Divizia Suport Vanzari","Sales Network Specialist Divizia Suport Vanzari","sales network specialist divizia suport vanzari","yes","6","specialist","vanzari","","1.000","0.000","1.000","help","role_head:specialist|domain_modifier:vanzari"
"21","Contabil","Contabil","contabil","no","1","contabil","","","0.880","0.000","0.880","help","role_head:contabil"
