concept_id,canonical,dimension
3d_knowledge_domain,3d,knowledge_domain
3d_work_object,3d,work_object
absorbent_pad_work_object,absorbent pad,work_object
academy,academy,venue
accessibility,accessibility,task
account,account,task
accounting,accounting,knowledge_domain
acoustic,acoustic,industry
acoustical,acoustical,industry
activism_work_object,activism,work_object
activity_work_object,activity,work_object
actuarial,actuarial,industry
administration,administration,task
administrative,administrative,task
admissions,admissions,task
adolescent,adolescent,population
adolescents,adolescents,population
adults,adults,population
advanced_industry,advanced,industry
advanced_nurse_work_object,advanced nurse,work_object
advertising,advertising,task
advisory,advisory,task
aerodynamics,aerodynamics,knowledge_domain
aerospace,aerospace,knowledge_domain
affairs,affairs,task
agency_knowledge_domain,agency,knowledge_domain
agricultural,agricultural,industry
aide_task,aide,task
aided_work_object,aided,work_object
air_force_work_object,air force,work_object
air_knowledge_domain,air,knowledge_domain
air_product,air,product
air_work_object,air,work_object
aircraft_cargo_task,aircraft cargo,task
aircraft_engine_knowledge_domain,aircraft engine,knowledge_domain
aircraft_groomer_work_object,aircraft groomer,work_object
aircraft_knowledge_domain,aircraft,knowledge_domain
aircraft_marshaller_work_object,aircraft marshaller,work_object
airline_industry,airline,industry
airside_task,airside,task
airspace_work_object,airspace,work_object
alarm_knowledge_domain,alarm,knowledge_domain
alarm_work_object,alarm,work_object
alcohol_task,alcohol,task
anaesthetic,anaesthetic,industry
anatomical,anatomical,industry
animals,animals,population
antique_dealer_industry,antique dealer,industry
antique_furniture_reproducer_work_object,antique furniture reproducer,work_object
antique_work_object,antique,work_object
apparel_manufacturer_industry,apparel manufacturer,industry
apparel_presser_task,apparel presser,task
apparel_task,apparel,task
appliance_industry,appliance,industry
appliances_product,appliances,product
appliances_work_object,appliances,work_object
applications_product,applications,product
applications_work_object,applications,work_object
applied_knowledge_domain,applied,knowledge_domain
architectural,architectural,industry
architecture_knowledge_domain,architecture,knowledge_domain
archiving,archiving,task
arena,arena,venue
armed_force_task,armed force,task
armoured_car_work_object,armoured car,work_object
army_captain_work_object,army captain,work_object
army_industry,army,industry
army_major_work_object,army major,work_object
art,art,knowledge_domain
artificial,artificial,industry
artillery_work_object,artillery,work_object
artisan_papermaker_work_object,artisan papermaker,work_object
arts,arts,knowledge_domain
asbesto_task,asbesto,task
asphalt_work_object,asphalt,work_object
asset_work_object,asset,work_object
assisted_work_object,assisted,work_object
astronaut_work_object,astronaut,work_object
at_knowledge_domain,at,knowledge_domain
athlete_industry,athlete,industry
atm_product,atm,product
atm_work_object,atm,work_object
au_pair_work_object,au pair,work_object
audio_describer_work_object,audio describer,work_object
audit_work_object,audit,work_object
auditing,auditing,task
auger_work_object,auger,work_object
automated_cable_vehicle_work_object,automated cable vehicle,work_object
automated_fly_work_object,automated fly,work_object
automated_work_object,automated,work_object
