role_head,global_aliases,current_ro_aliases,current_hu_aliases,missing_locales,ro_aliases_to_add,hu_aliases_to_add,note
accountant,contabil; könnyvelő,,,ro;hu,,,
actor,színész; näitleja,,,ro;hu,,,
actress,actriță; színésznő; näitlejanna,,,ro;hu,,,
acupuncturist,akupunktőr; akupunkturist; acupunctor,,,ro;hu,,,
administrator,adminisztrátor; administraator; admin,,,ro;hu,,,
adviser,advisor; consilier,,,ro;hu,,,
agent,ügynök,,,ro;hu,,,
analyst,analist; elemző; analüütik,,,ro;hu,,,
animator,animaator,,,ro;hu,,,
architect,arhitect; építész; arhitekt,,,ro;hu,,,
artist,művész; kunstnik,,,ro;hu,,,
assembler,montator; asamblor; összeszerelő; koostaja,,,ro;hu,,,
assistant,asistent; asszisztens; assistent,,,ro;hu,,,
attendant,teenindaja,,,ro;hu,,,
auditor,könyvvizsgáló; audiitor,,,ro;hu,,,
biologist,biolog; biológus; bioloog,,,ro;hu,,,
breeder,crescător; tenyésztő; aretaja,,,ro;hu,,,
broker,alkusz; maakler,,,ro;hu,,,
builder,constructor; építő; ehitaja,,,ro;hu,,,
buyer,vevő,,,ro;hu,,,
cashier,casier; kassiir,,,ro;hu,,,
chemist,vegyész; keemik,,,ro;hu,,,
chief,sef,,,ro;hu,,,
chiropractor,kiropraktik; csontkovács,,,ro;hu,,,
clerk,gestionar; funcționar; hivatalnok; ametnik,,,ro;hu,,,
coach,,,,ro;hu,,,
collector,colector; gyűjtő; koguja,,,ro;hu,,,
conductor,karnagy,,,ro;hu,,,
configurator,konfiguráló; konfigureerija,,,ro;hu,,,
consultant,konsultant,,,ro;hu,,,
controller,controlor,,,ro;hu,,,
cook,bucatar; szakács; kokk,,,ro;hu,,,
coordinator,coordonator,,,ro;hu,,,
counsellor,counselor,,,ro;hu,,,
coverer,acoperitor; katja,,,ro;hu,,,
developer,dezvoltator; fejlesztő; arendaja,,,ro;hu,,,
director,igazgató; direktor,,,ro;hu,,,
