concept_id,alias,priority
3d_knowledge_domain,3d,90
3d_work_object,3d,100
absorbent_pad_work_object,absorbent pad,100
academic,academic,100
academic,mentor,94
academic,mentoring,94
academic,opetaja,94
academic,tanar,94
academic,tutore,94
academic,tutoring,94
academic,academic support,91
academy,academy,100
accessibility,accessibility,100
account,account,100
accounting,accounting,100
acoustic,acoustic,100
acoustical,acoustical,100
activism_work_object,activism,100
activity_work_object,activity,100
actuarial,actuarial,100
administration,administration,100
administrative,administrative,100
admissions,admissions,100
adolescent,adolescent,100
adolescents,adolescents,100
adult,adult,100
adult,aged,94
adult,felnott,94
adult,idosek,94
adult,taiskasvanu,94
adult,varstnic,94
adult,varstnici,94
adults,adults,100
advanced_industry,advanced,100
advanced_industry,avansat,94
advanced_nurse_work_object,advanced nurse,100
advertising,advertising,100
advisory,advisory,100
aerodynamics,aerodynamics,100
aerospace,aerospace,100
affairs,affairs,100
after_sales,after-sales,100
after_sales,after sales,96
aftersale_task,aftersale,100
aftersale_task,aftersales,96
aftersale_task,after sales,94
aftersale_task,motor vehicle aftersales,92
aftersale_task,aftersales service,80
aftersale_task,bus coach aftersales,80
aftersale_task,car aftersales,80
aftersale_task,motor vehicles aftersales,80
aftersale_task,truck aftersales,80
aftersale_task,van aftersales,80
aftersale_task,vehicle aftersales,80
aftersale_task,vehicles aftersales,80
agency_knowledge_domain,agency,100
agricultural,agricultural,100
agriculture,agriculture,100
agriculture,agricol,94
agriculture,canisa,94
agriculture,farming,94
agriculture,feeds,94
agriculture,flori,94
agriculture,harvesting,94
agriculture,horticultura,94
agriculture,incubator,94
agriculture,irigatii,94
agriculture,irrigation,94
agriculture,mezogazdasagi,94
agriculture,nutret,94
agriculture,pasari,94
agriculture,pollumajandus,94
agriculture,recoltare,94
agriculture,seeds,94
agriculture,seminte,94
agriculture,sol,94
agriculture,vie,94
agriculture,vii,94
agriculture,vite,94
agriculture,zootehnica,94
agriculture,zootehnie,94
aide_task,aide,100
aided_work_object,aided,100
air_force_work_object,air force,100
air_force_work_object,forțele aeriene,94
air_knowledge_domain,air,80
air_product,air,100
air_work_object,air,90
aircraft_cargo_task,aircraft cargo,100
aircraft_engine_knowledge_domain,aircraft engine,100
aircraft_groomer_work_object,aircraft groomer,100
aircraft_knowledge_domain,aircraft,80
aircraft_marshaller_work_object,aircraft marshaller,100
aircraft_marshaller_work_object,marshaller de aeronave,94
aircraft_product,aircraft,100
aircraft_product,airplane product,95
aircraft_product,aeroplane product,90
aircraft_product,aircraft unit,85
aircraft_product,airframe product,80
aircraft_work_object,aircraft,100
aircraft_work_object,airplane,95
aircraft_work_object,aeroplane,90
aircraft_work_object,airframe,85
aircraft_work_object,flying machine,80
airline_industry,airline,100
airline_industry,companie aeriană,94
airport,airport,100
airport,aeroportul,94
airport,lennujaam,94
airport,lennujaama,94
airside_task,airside,100
airside_task,zona aerodromului,94
airspace_work_object,airspace,100
alarm_knowledge_domain,alarm,90
alarm_work_object,alarm,100
alcohol_task,alcohol,100
alcohol_task,alcool,94
ammunition_product,ammunition,96
ammunition_product,arma,94
ammunition_product,arme,94
ammunition_product,firearm,94
ammunition_product,firearms,94
ammunition_product,nitroglicerina,94
ammunition_product,nitroglycerin,94
ammunition_product,weapon,94
ammunition_product,weapons,94
ammunition_work_object,ammunition,100
ammunition_work_object,arma,94
ammunition_work_object,arme,94
ammunition_work_object,firearm,94
ammunition_work_object,firearms,94
ammunition_work_object,nitroglicerina,94
ammunition_work_object,nitroglycerin,94
ammunition_work_object,weapon,94
ammunition_work_object,weapons,94
anaesthetic,anaesthetic,100
anaesthetic,anestezic,94
analysis,analysis,100
analysis,analist,94
analysis,analyst,94
anatomical,anatomical,100
anatomical,anatomic,94
animal,animal,100
animal,allat,94
animal,animalier,94
animal,cai,94
animal,caine,94
animal,caini,94
animal,cal,94
animal,ecvin,94
animal,kedvenc,94
animal,lemmikloom,94
animal,loom,94
animals,animals,100
antique_dealer_industry,antique dealer,100
antique_dealer_industry,comerciant de antichități,94
antique_furniture_reproducer_work_object,antique furniture reproducer,100
antique_work_object,antique,100
apparel_manufacturer_industry,apparel manufacturer,100
apparel_manufacturer_industry,producător de îmbrăcăminte,94
apparel_presser_task,apparel presser,100
apparel_task,apparel,100
appliance_industry,appliance,100
appliances_product,appliances,90
appliances_work_object,appliances,100
application_product,software application,95
application_product,application,90
application_product,digital application,90
application_product,app product,85
application_product,mobile application,80
application_work_object,application,100
application_work_object,app,95
application_work_object,software app,90
application_work_object,application system,85
application_work_object,business application,80
applications_product,applications,90
applications_work_object,applications,100
applied_knowledge_domain,applied,100
applied_knowledge_domain,aplicat,94
aquaculture,aquaculture,100
aquaculture,acvatic,94
aquaculture,aquatic,94
aquaculture,fishery,94
aquaculture,halaszat,94
aquaculture,hidrografic,94
aquaculture,hydrographic,94
aquaculture,kalandus,94
aquaculture,maritim,94
aquaculture,pescuit,94
aquaculture,peste,94
aquaculture,marine aquaculture,91
architectural,architectural,100
architectural,arhitectural,94
architecture_knowledge_domain,architecture,100
archiving,archiving,100
arena,arena,100
armed_force_task,armed force,100
armed_force_task,forță armată,94
armoured_car_work_object,armoured car,100
army_captain_work_object,army captain,100
army_industry,army,100
army_major_work_object,army major,100
art,art,100
artificial,artificial,100
artillery_work_object,artillery,100
artisan_papermaker_work_object,artisan papermaker,100
arts,arts,100
asbesto_task,asbesto,100
asbesto_task,azbest,94
asphalt_work_object,asphalt,100
assembly,assembly,100
assembly,asamblator,94
assembly,assembler,94
assembly,assemblers,94
assembly,kokkupanek,94
assembly,osszeszerelesi,94
asset_work_object,asset,100
assisted_work_object,assisted,100
astronaut_work_object,astronaut,100
at_knowledge_domain,at,100
athlete_industry,athlete,100
athlete_industry,sportiv,94
atm,ATM,100
atm_product,atm,90
atm_work_object,atm,100
au_pair_work_object,au pair,100
audio_describer_work_object,audio describer,100
audio_describer_work_object,descriere audio,94
audio_knowledge_domain,audio,100
audio_knowledge_domain,audiovizual,94
audio_knowledge_domain,audiovizuale,94
audio_knowledge_domain,hang,94
audio_knowledge_domain,hangtechnika,94
audio_knowledge_domain,heliseadmed,94
audio_knowledge_domain,muzical,94
audio_knowledge_domain,sunet,94
audio_product,audio,96
audio_product,audiovizual,94
audio_product,audiovizuale,94
audio_product,hang,94
audio_product,hangtechnika,94
audio_product,heliseadmed,94
audio_product,muzical,94
audio_product,sunet,94
audio_work_object,audio,100
audio_work_object,audiovizual,94
audio_work_object,audiovizuale,94
audio_work_object,hang,94
audio_work_object,hangtechnika,94
audio_work_object,heliseadmed,94
audio_work_object,muzical,94
audio_work_object,sunet,94
audit_work_object,audit,100
auditing,auditing,100
auger_work_object,auger,100
auger_work_object,burghiu melc,94
automated_cable_vehicle_work_object,automated cable vehicle,100
automated_fly_work_object,automated fly,100
automated_fly_work_object,fly automat,94
automated_work_object,automated,100
automated_work_object,automatizari,94
automated_work_object,automatizat,94
automotive,automotive,100
automotive,motor vehicle,95
automotive,auto,94
automotive,autotoostus,94
automotive,autovehicul,94
automotive,autovehicule,94
automotive,jarmu,94
automotive,jarmuipari,94
automotive,vehicle industry,90
automotive,auto sector,85
automotive,car industry,80
autonomou_knowledge_domain,autonomou,100
autonomou_knowledge_domain,autonom,94
aviation,aviation,100
aviation,air transport,96
aviation,aer,94
aviation,aeronautica,94
aviation,aeronautical,94
aviation,aeronava,94
aviation,aerospatial,94
aviation,air traffic,94
aviation,aviatic,94
aviation,avionica,94
aviation,avionics,94
aviation,lennundus,94
aviation,repulesi,94
aviation,zbor,94
aviation,aviation safety,92
aviation,aeronautics,90
aviation,airport operations,90
aviation,airline operation,85
aviation,aviation assembly,80
aviation,aviation development,80
aviation,aviation diagnostic,80
aviation,aviation dispatch,80
aviation,aviation frequencies,80
aviation,aviation ground,80
aviation,aviation inspection,80
aviation,aviation installation,80
aviation,aviation instrument,80
aviation,aviation line,80
aviation,aviation maintenance,80
aviation,aviation meteorological,80
aviation,aviation meteorology,80
aviation,aviation repair,80
aviation,aviation security,80
aviation,aviation stress,80
aviation,flight operation,80
avionics_work_object,avionics,100
back_knowledge_domain,back,90
back_work_object,back,100
baggage_task,baggage,100
baggage_task,bagaje,94
bailiff_work_object,bailiff,100
bakery_product,bakery,100
band_saw_work_object,band saw,100
bank,bank,100
banking,banking,100
banking,commercial banking,94
banking,investment banking,92
banking,banking product,90
banking,banking accounts,80
banking,banking business,80
banking,banking centre,80
banking,banking operations,80
banking,banking products,80
banking,banking relationship,80
banking,banking services,80
banking,business banking,80
banking,business banking relationship,80
banking,commercial banking accounts,80
banking,commercial banking products,80
banking,commercial banking relationship,80
banking,corporate banking,80
banking,corporate banking centre,80
banking,electronic banking products,80
banking,internet banking,80
banking,personal banking,80
banking,relationship banking,80
bankruptcy_trustee_work_object,bankruptcy trustee,100
bankruptcy_trustee_work_object,administrator judiciar al falimentului,94
bar,bar,100
barista_work_object,barista,100
bathroom_work_object,bathroom,100
battery_product,battery,96
battery_product,acumulatoare,94
battery_product,acumulator,94
battery_product,akku,94
battery_product,aku,94
battery_work_object,battery,100
battery_work_object,acumulatoare,94
battery_work_object,acumulator,94
battery_work_object,akku,94
battery_work_object,aku,94
beauty,beauty,100
bed_work_object,bed,100
bee_work_object,bee,100
bee_work_object,albină,94
beer_work_object,beer,100
belt_mould_work_object,belt mould,100
belt_work_object,belt,100
benefit_advice_work_object,benefit advice,100
benefit_advice_work_object,consiliere privind prestațiile,94
bespoke_footwear_work_object,bespoke footwear,100
beverage_knowledge_domain,beverage,96
beverage_knowledge_domain,bautura,94
beverage_knowledge_domain,cacao,94
beverage_knowledge_domain,cafea,94
beverage_knowledge_domain,ciocolata,94
beverage_knowledge_domain,csokolade,94
beverage_knowledge_domain,distilerie,94
beverage_knowledge_domain,drink,94
beverage_knowledge_domain,fermentare,94
beverage_knowledge_domain,ital,94
beverage_knowledge_domain,joogid,94
beverage_knowledge_domain,jook,94
beverage_knowledge_domain,lichior,94
beverage_knowledge_domain,prajire,94
beverage_knowledge_domain,roaster,94
beverage_knowledge_domain,roasting,94
beverage_knowledge_domain,sokolaad,94
beverage_knowledge_domain,vin,94
beverage_knowledge_domain,vinuri,94
beverage_knowledge_domain,viz,94
beverage_product,beverage,100
beverage_product,bauturi,94
beverage_product,cacao,94
beverage_product,cafea,94
beverage_product,ciocolata,94
beverage_product,csokolade,94
beverage_product,distilerie,94
beverage_product,drink,94
beverage_product,fermentare,94
beverage_product,italok,94
beverage_product,joogid,94
beverage_product,jook,94
beverage_product,lichior,94
beverage_product,prajire,94
beverage_product,roaster,94
beverage_product,roasting,94
beverage_product,sokolaad,94
beverage_product,vin,94
beverage_product,vinuri,94
beverage_product,viz,94
beverage_work_object,beverage,96
beverage_work_object,bauturi,94
beverage_work_object,cacao,94
beverage_work_object,cafea,94
beverage_work_object,ciocolata,94
beverage_work_object,csokolade,94
beverage_work_object,distilerie,94
beverage_work_object,drink,94
beverage_work_object,fermentare,94
beverage_work_object,italok,94
beverage_work_object,joogid,94
beverage_work_object,jook,94
beverage_work_object,lichior,94
beverage_work_object,prajire,94
beverage_work_object,roaster,94
beverage_work_object,roasting,94
beverage_work_object,sokolaad,94
beverage_work_object,vin,94
beverage_work_object,vinuri,94
beverage_work_object,viz,94
beverages_product,beverages,100
bicycle_courier_work_object,bicycle courier,100
bicycle_work_object,bicycle,100
bid_work_object,bid,100
big_data_industry,big data,100
bindery_work_object,bindery,100
