concept_id,alias,priority
abatement_task,reducere,96
abrasive_industry,abrazive,96
absorbent_pad_work_object,tampon absorbant,94
academy,academie,94
accessibility,accesibilitate,94
accommodation_task,cazare,96
account,cont,94
accounting,contabilitate,94
acoustic,acustică,96
acoustical,acustic,96
activity_noop,activitate,94
addiction_task,dependență,96
additive_industry,aditivi,96
administration,administrație,94
administrative,administrativ,94
admissions,admitere,94
adolescents,adolescenți,94
adult,adulti,94
advanced_noop,tehnologii avansate,96
advertising,publicitate,98
aerodynamics,aerodinamică,94
aeronautical_industry,aeronautică,98
aerospace,aerospațial,98
after_sales,post-vânzare,96
aftersale_task,servicii post-vânzare,96
agency_knowledge_domain,agenție,94
agricultural,agricol,98
agriculture,agricultura,94
air_force_work_object,forțe aeriene,96
air_knowledge_domain,aerian,96
aircraft_cargo_task,încărcătură aeronavă,94
aircraft_engine_knowledge_domain,motor de aeronavă,94
aircraft_knowledge_domain,aeronave,96
airline_industry,companii aeriene,96
airport,aeroport,94
airside_task,zonă aeroportuară,96
airspace_work_object,spațiu aerian,94
alarm_knowledge_domain,sisteme de alarmă,96
alarm_work_object,alarmă,96
alcohol_task,control alcool,96
alteration_task,modificare,96
alternative_industry,energii alternative,96
ammunition_product,munitie,94
ammunition_task,gestiune muniție,96
ammunition_work_object,munitie,94
anaerobic_industry,procese anaerobe,96
anaesthetic,anestezie,96
analysis,analiză,96
analytical_industry,analitic,96
anatomical,anatomie,96
animal,animale,94
animation_task,animație,96
anodising_task,anodizare,96
anthropology_knowledge_domain,antropologie,96
antique_work_object,antic,94
apparel_task,confecționare îmbrăcăminte,96
application_task,aplicare,96
applied_knowledge_domain,științe aplicate,96
aquaculture,acvacultura,94
aquatic_industry,mediu acvatic,96
archaeology_knowledge_domain,arheologie,96
architecture_knowledge_domain,arhitectură,94
archive_industry,arhive,96
archiving,arhivare,94
armed_force_task,serviciu în forțele armate,96
armoured_car_work_object,mașină blindată,94
army_industry,armată,98
art,artă,94
artificial,materiale artificiale,96
artillery_work_object,artilerie,94
artisanal_industry,artizanat,96
artistic_industry,sector artistic,96
arts,arte,94
asbesto_task,îndepărtare azbest,96
asphalt_work_object,asfalt,98
assembly,asamblare,94
asset_work_object,activ,94
assistive_industry,tehnologii asistive,96
assurance_task,asigurare a calității,96
attraction_task,atragere,96
auction_task,licitație,96
audio_product,echipament audio,96
audiology_knowledge_domain,audiologie,96
auditing,auditare,94
auger_work_object,burghiu melcat,96
automated_cable_vehicle_work_object,vehicul automat pe cablu,94
automated_fly_work_object,mecanism automat de scenă,96
automated_work_object,sistem automatizat,96
automation_task,automatizare,96
automotive,automobilistic,96
autonomou_knowledge_domain,sisteme autonome,96
auxiliary_industry,servicii auxiliare,96
aviation,aviatie,94
avionics_work_object,avionică,98
back_knowledge_domain,back-end,96
back_work_object,spate,96
bacteriology_knowledge_domain,bacteriologie,96
baggage_task,gestiune bagaje,96
bakery_product,produse de brutărie,96
baking_task,coacere,96
band_saw_work_object,ferăstrău panglică,94
bank,bancă,94
banking,servicii bancare,96
bathroom_work_object,baie,96
battery_product,baterie,94
battery_work_object,baterie,94
beauty,frumusețe,94
bed_work_object,pat,94
bee_work_object,albine,96
beer_work_object,bere,94
behavioural_industry,comportamental,96
belt_mould_work_object,matriță de curea,94
belt_work_object,curea,94
benefit_advice_work_object,consiliere prestații,96
bereavement_task,asistență în caz de doliu,96
bespoke_footwear_work_object,încălțăminte la comandă,94
betting_task,pariuri,96
beverage_knowledge_domain,bauturi,94
beverage_product,bautura,94
beverage_work_object,bautura,94
bid_work_object,ofertă,94
billing_task,facturare,96
bindery_work_object,legătorie,94
biochemical_industry,biochimic,96
biochemistry_work_object,biochimie,94
bioga_work_object,biogaz,94
bioinformatics_work_object,bioinformatică,96
biology,biologie,98
biotechnical_industry,biotehnic,96
blanching_task,opărire,96
blasting,sablare,94
blending_task,amestecare,96
block_work_object,bloc,94
blow_work_object,suflare,94
board_work_object,placă,94
boat_work_object,barcă,94
body_knowledge_domain,anatomie corporală,96
body_work_object,corp,96
boiler_work_object,cazan,94
bomb_work_object,bombă,94
book_sewing_task,coasere cărți,96
bookshop_product,librărie,94
boom_work_object,braț de macara,96
boring_task,găurire,98
botanical_industry,botanic,96
bottling_task,îmbuteliere,96
boxing_task,ambalare în cutii,96
braiding_task,împletire,96
brake_work_object,frână,94
branch_work_object,ramură,94
breakfast_work_object,mic dejun,94
breeding,creștere animale,96
brew_work_object,bere preparată,94
brick_work_object,cărămidă,98
bricklaying_task,zidărie,96
bridge_work_object,pod,98
briquetting_task,brichetare,96
broadcast,difuzare,94
brokerage_firm_knowledge_domain,firmă de brokeraj,94
brush_work_object,perie,94
budget_knowledge_domain,buget,94
building,clădire,94
bulk_work_object,vrac,94
bulldozer_work_object,buldozer,94
burning_task,ardere,96
bus_route_work_object,rută de autobuz,94
business,afaceri,94
business_studies,studii de afaceri,94
cabin_crew_knowledge_domain,echipaj de cabină,94
cabinet_work_object,dulap,96
cacao_bean_work_object,boabă de cacao,94
cage_work_object,cușcă,94
cake_work_object,prăjitură,94
calculation_task,calcul,96
calibration_task,calibrare,96
call,apel,98
call_centre,call center,100
camera_work_object,cameră foto,96
camp,tabără,94
campaign_industry,campanie,94
candle_work_object,lumânare,94
candy_work_object,bomboane,94
canva_good_work_object,produs Canva,94
capacity_knowledge_domain,capacitate,94
capsule_work_object,capsulă,94
car_product,automobil,96
carbonation_task,carbonatare,96
care,ingrijire,94
career_guidance_work_object,orientare profesională,94
cargo_vehicle_work_object,vehicul de marfă,94
carpet_handicraft_work_object,artizanat de covoare,94
