role_head,alias,note
adviser,advisor,Variant centralization 2026-08-28: American English alias to canonical British English adviser.
counsellor,counselor,Variant centralization 2026-08-28: American English alias to canonical British English counsellor.
labourer,laborer,Variant centralization 2026-08-28: American English alias to canonical British English labourer.
modeller,modeler,Variant centralization 2026-08-28: American English alias to canonical British English modeller.
bartender,barman,Alias centralization 2026-08-28: Romanian alias to canonical bartender.
cook,bucatar,Alias centralization 2026-08-28: Romanian alias to canonical cook.
researcher,cercetator,Alias centralization 2026-08-28: Romanian alias to canonical researcher.
dispatcher,expeditor,Alias centralization 2026-08-28: Romanian alias to canonical dispatcher.
clerk,gestionar,Alias centralization 2026-08-28: Romanian alias to canonical clerk.
worker,lucrator,Alias centralization 2026-08-28: Romanian alias to canonical worker.
doctor,medic,Alias centralization 2026-08-28: Romanian alias to canonical doctor.
assembler,montator,Alias centralization 2026-08-28: Romanian alias to canonical assembler.
waiter,ospatar,Alias centralization 2026-08-28: Romanian alias to canonical waiter.
planner,planificator,Alias centralization 2026-08-28: Romanian alias to canonical planner.
programmer,programator,Alias centralization 2026-08-28: Romanian alias to canonical programmer.
receptionist,receptioner,Alias centralization 2026-08-28: Romanian alias to canonical receptionist.
representative,reprezentant,Alias centralization 2026-08-28: Romanian alias to canonical representative.
supervisor,responsabil,Alias centralization 2026-08-28: Romanian alias to canonical supervisor.
secretary,secretar,Alias centralization 2026-08-28: Romanian alias to canonical secretary.
chief,sef,Alias centralization 2026-08-28: Romanian alias to canonical chief.
driver,sofer,Alias centralization 2026-08-28: Romanian alias to canonical driver.
driver,conducator auto,Manual promotion 2026-08-31: Romanian exact role-head phrase resolves to canonical driver.
driver,stivuitorist,Alias centralization 2026-08-28: Romanian alias to canonical driver.
welder,sudor,Alias centralization 2026-08-28: Romanian alias to canonical welder.
technician,tehnician,Alias centralization 2026-08-28: Romanian alias to canonical technician.
mechanic,electromechanic,Manual review 2026-09-13: English/global electromechanic role wording resolves to canonical mechanic for machinery repair titles.
translator,traducator,Alias centralization 2026-08-28: Romanian alias to canonical translator.
seller,vanzator,Alias centralization 2026-08-28: Romanian alias to canonical seller.
seller,vanzatoare,Alias centralization 2026-08-28: Romanian alias to canonical seller.
painter,vopsitor,Alias centralization 2026-08-28: Romanian alias to canonical painter.
repairer,vulcanizator,Alias centralization 2026-08-28: Romanian alias to canonical repairer.
architect,arhitekt,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
bartender,csapos,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
bartender,baarmen,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
cashier,kassiir,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
cook,kokk,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
developer,arendaja,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
dispatcher,dispetšer,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
doctor,orvos,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
doctor,arst,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
engineer,insener,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
mechanic,mehaanik,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
programmer,programmeerija,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
representative,esindaja,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
secretary,sekretär,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
technician,technikus,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
technician,tehnik,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
translator,tõlkija,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
waiter,kelner,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
