dimension,concept_ids,note
task,service;services;support;help;aide_task;client_task;advisory;relationship,Customer-facing support family
task,sales;presales_task;aftersale_task;trading;advertising,Commercial selling flow
task,teaching;training;learning,Instruction and learning family
task,test;testing;quality;quality_assurance;inspection;screening;sampling;grading;control,Quality checking family
task,maintenance;repair;overhaul;troubleshooting;mechanics_task,Maintenance and repair family
task,care;childcare_task;counselling;treatment;recovery,Care and treatment family
task,administration;administrative;management;operations;coordination;planning;admissions;account;policy,Administrative management family
task,assembly;installation;configuration;integration,Build and setup family
task,manufacturing;production;process;processing;finishing;printing;layout,Production process family
task,research;analysis;documentation;archiving;correspondence,Research and documentation family
task,delivery;driving;handling;transfer;baggage_task;common_carrier_task,Movement and delivery family
task,security;safety;protection;response;rescue;defence_task,Protection and response family
task,program;programme,Programme naming family
knowledge_domain,it_knowledge_domain;ict_knowledge_domain;software_knowledge_domain;programming;computer_knowledge_domain;data_knowledge_domain;technology;telecommunications;iot_knowledge_domain;robotics_knowledge_domain;embedded_knowledge_domain;microelectronics;microsystem_knowledge_domain;cad;system_knowledge_domain;information,Software and computing knowledge family
knowledge_domain,language;languages;speech;speech_and_language;sign_language;foreign_language;translation;communications,Language and communication study family
knowledge_domain,art;arts;music;musical;drama;dance_knowledge_domain;visual;classical;media;media_knowledge_domain;storyboard_knowledge_domain;picture_knowledge_domain;video_knowledge_domain,Arts study family
knowledge_domain,medicine;nursing;pharmacy_knowledge_domain;dentistry_knowledge_domain;midwifery_knowledge_domain;first_aid_knowledge_domain,Clinical knowledge family
knowledge_domain,business;business_studies;marketing;human_resources;public_relations;accounting;economics;tax;securities;budget_knowledge_domain;credit_knowledge_domain;stock_knowledge_domain;brokerage_firm_knowledge_domain,Business and finance study family
knowledge_domain,food_knowledge_domain;beverage_knowledge_domain;coffee_tea_cocoa_knowledge_domain;fruit_knowledge_domain;meat_knowledge_domain;meat_product_knowledge_domain;fish_crustacean_knowledge_domain;mollusc_knowledge_domain;spice_knowledge_domain;sugar_chocolate_knowledge_domain;sugar_confectionery_knowledge_domain;vegetable_knowledge_domain,Food knowledge family
knowledge_domain,textile_knowledge_domain;textile_leather_knowledge_domain;textile_semi_finished_knowledge_domain;footwear_knowledge_domain;leather_good_knowledge_domain;leather_product_knowledge_domain;hide_skin_knowledge_domain;furniture_knowledge_domain;furniture_carpet_knowledge_domain,Materials and crafted goods knowledge family
knowledge_domain,science;biology;chemistry;physics;mathematics;statistics;geology;earth_knowledge_domain,General science family
knowledge_domain,law;compliance;politics_knowledge_domain,Law and governance study family
knowledge_domain,travel;tourism_knowledge_domain;geography;maritime_knowledge_domain,Travel geography family
knowledge_domain,engineering;electronics;electricity_knowledge_domain;hardware_knowledge_domain;machine_tool_knowledge_domain;machinery_knowledge_domain;surface_mount_knowledge_domain;photonics_knowledge_domain,Engineering systems family
knowledge_domain,book_knowledge_domain;magazine_knowledge_domain;newspaper_knowledge_domain;literature_knowledge_domain;literacy,Publishing and literature family
knowledge_domain,media;media_knowledge_domain;podcast_knowledge_domain;radio_knowledge_domain;video_knowledge_domain,Media communication family
knowledge_domain,police_knowledge_domain;crime_knowledge_domain;intelligence_knowledge_domain,Security studies family
industry,bank;banking;finance_industry;financial;insurance;investment;fund_industry;central_bank,Finance industry family
industry,medical;health;healthcare;clinical;pharmaceutical;biomedical;veterinary,Health industry family
industry,educational;academic;vocational;pedagogue_industry;practice_educator_industry,Education industry family
industry,agricultural;agriculture;forestry;aquaculture;fisheries;crop_industry;dairy,Agriculture and fisheries industry family
industry,digital;informatics_industry;technical_industry;electronic;electrical;mechatronics;robot_industry;mobile;big_data_industry;code_industry;industrial;mechanical,Technical industry family
industry,legal;judicial;justice_industry;government;public;political;regulatory;eu,Governance and justice industry family
industry,marine;maritime_water_industry;inland_water_industry;underwater_industry;waterway_industry,Water and marine industry family
industry,army_industry;military;surveillance_industry;emergency_industry;emergency_respons_industry,Defence and security industry family
industry,hospitality;tourism_industry;event,Hospitality and tourism industry family
industry,energy;renewable;green;solar,Energy industry family
industry,fashion;beauty;cultural;sports;photography,Creative consumer industry family
industry,transport;logistics;road;aviation;airline_industry,Mobility and transport industry family
product,computer_product;computers_product;software_product;application_product;applications_product;database_product;network_product;networks_product;system_product;systems_product,Software and application product family
product,device_product;devices_product;equipment_product;hardware_product;screen_product;screens_product;panel_product;panels_product;router_product;circuit_product;circuits_product;battery_product,Device and equipment product family
product,beverage_product;beverages_product;coffee_product;tea_product;coffee_tea_cocoa_product;cocoa_product,Beverage product family
product,food_product;fish_product;seafood_product;crustaceans_product;mollusc_product;meat_product;meat_product_product;fruit_product;vegetable_product;spice_product;sugar_product;sugar_chocolate_product;sugar_confectionery_product;confectionery_product;bakery_product;delicatessen_product,Food product family
product,vehicle_product;vehicles_product;motor_product;light_motor_product;car_product;truck_product;train_product;ship_product;ships_product;vessel_product;aircraft_product;part_product,Transport equipment product family
product,household_product;household_good_product;household_appliance_product;appliances_product;lighting_product,Household product family
product,furniture_product;furniture_carpet_product;carpet_product;timber_product;wood_product,Furniture and wood product family
product,jewellery_product;jewelry_product;watche_product,Jewellery and watch product family
