source_name,sub_family_node_id,sub_family_label,current_family_node_id,current_family_label,leaf_count,example_leaf_labels,review_action,override_family_node_id,override_family_label,review_note
esco_1_2_1,,(missing sub-family label),,(missing family label),6,12330cce-d129-4d87-9d8b-7dc7bfabac83|1b99cad3-27c6-4e19-83b6-7b5f8338ed2b|46d0568d-7415-4643-94aa-89d2470fbe3c|6fe645b0-463a-445d-ab8f-c0a5132beb68|98562ce3-9632-4226-b129-c67eb9c54f0f|a9e54177-a185-404d-b6e6-15663d31137e,,,,
esco_1_2_1,14792,Management and organisation analysts,14791,Administration professionals,8,business intelligence manager|manufacturing cost estimator|logistics analyst|business analyst|business consultant|process officer|building information modelling consultant|lean manager,,,,
esco_1_2_1,14794,Personnel and careers professionals,14791,Administration professionals,7,recruitment consultant|compensation analyst|labour relations officer|career guidance advisor|occupational analyst|human resources officer|employment and vocational integration consultant,,,,
esco_1_2_1,14793,Policy administration professionals,14791,Administration professionals,32,housing policy officer|procurement category specialist|social service consultant|regional development policy officer|competition policy officer|community development officer|humanitarian advisor|intelligence officer,,,,
esco_1_2_1,14795,Training and staff development professionals,14791,Administration professionals,2,corporate trainer|business coach,,,,
esco_1_2_1,14917,Administrative and executive secretaries,14914,Administrative and specialised secretaries,12,administrative assistant|fundraising assistant|executive assistant|scopist|education administrator|project support officer|management assistant|court reporter,,,,
esco_1_2_1,14916,Legal secretaries,14914,Administrative and specialised secretaries,2,legal administrative assistant|civil registrar,,,,
esco_1_2_1,14918,Medical secretaries,14914,Administrative and specialised secretaries,3,medical administrative assistant|medical transcriptionist|medical practice manager,,,,
esco_1_2_1,14915,Office supervisors,14914,Administrative and specialised secretaries,7,field survey manager|call centre analyst|call centre quality auditor|call centre supervisor|office manager|contact centre supervisor|data entry supervisor,,,,
esco_1_2_1,15237,Crop farm labourers,15236,"Agricultural, forestry and fishery labourers",2,fruit and vegetable picker|vineyard worker,,,,
esco_1_2_1,15242,Fishery and aquaculture labourers,15236,"Agricultural, forestry and fishery labourers",4,on foot aquatic resources collector|aquaculture cage mooring worker|water-based aquaculture worker|aquaculture harvesting worker,,,,
esco_1_2_1,15241,Forestry labourers,15236,"Agricultural, forestry and fishery labourers",1,forest worker,,,,
esco_1_2_1,15240,Garden and horticultural labourers,15236,"Agricultural, forestry and fishery labourers",2,horticulture worker|garden labourer,,,,
esco_1_2_1,15238,Livestock farm labourers,15236,"Agricultural, forestry and fishery labourers",4,livestock worker|equine worker|catcher|groom,,,,
esco_1_2_1,15239,Mixed crop and livestock farm labourers,15236,"Agricultural, forestry and fishery labourers",1,crop production worker,,,,
esco_1_2_1,15061,Animal producers not elsewhere classified,15057,Animal producers,1,fur animals breeder,,,,
esco_1_2_1,15060,Apiarists and sericulturists,15057,Animal producers,1,bee breeder,,,,
esco_1_2_1,15058,Livestock and dairy producers,15057,Animal producers,6,horse breeder|shepherd|equine yard manager|sheep breeder|cattle breeder|pig breeder,,,,
esco_1_2_1,15059,Poultry producers,15057,Animal producers,2,poultry sexer|poultry breeder,,,,
esco_1_2_1,14740,Building architects,14739,"Architects, planners, surveyors and designers",2,architect|interior architect,,,,
esco_1_2_1,14744,Cartographers and surveyors,14739,"Architects, planners, surveyors and designers",6,mine surveyor|cadastral technician|hydrographic surveyor|geographic information systems specialist|cartographer|land surveyor,,,,
