kind,rank,term,count
"token","1","pentru","92"
"token","2","colegi","90"
"token","3","cautam","88"
"token","4","hut","88"
"token","5","pizza","88"
"token","6","farmacist","83"
"token","7","fabrica","76"
"token","8","sibiu","76"
"token","9","caramida","74"
"token","10","laborant","74"
"token","11","alexandria","39"
"token","12","alte","39"
"token","13","departamente","39"
"token","14","interfata","39"
"token","15","terti","39"
"token","16","engineer","21"
"token","17","montator","18"
"token","18","advisor","17"
"token","19","casier","17"
"token","20","sales","17"
"token","21","bucharest","16"
"token","22","with","15"
"token","23","subansamble","14"
"token","24","support","14"
"token","25","english","13"
"token","26","medic","12"
"token","27","afi","11"
"token","28","cotroceni","11"
"token","29","boutique","10"
"token","30","collections","10"
"token","31","nespresso","10"
"token","32","operatori","8"
"token","33","productie","8"
"token","34","brasov","7"
"token","35","judet","7"
"token","36","matriter","7"
"token","37","sculer","7"
"token","38","15th","6"
"token","39","analyst","6"
"token","40","arad","6"
"token","41","client","6"
"token","42","customer","6"
"token","43","date","6"
"token","44","determinata","6"
"token","45","september","6"
"token","46","start","6"
"token","47","timisoara","6"
"token","48","accounting","5"
"token","49","arges","5"
"token","50","automotive","5"
"phrase","1","cautam colegi","88"
"phrase","2","cautam colegi pentru","88"
"phrase","3","colegi pentru","88"
"phrase","4","colegi pentru pizza","88"
"phrase","5","pentru pizza","88"
"phrase","6","pentru pizza hut","88"
"phrase","7","pizza hut","88"
"phrase","8","caramida sibiu","74"
"phrase","9","fabrica caramida","74"
"phrase","10","fabrica caramida sibiu","74"
"phrase","11","laborant fabrica","74"
"phrase","12","laborant fabrica caramida","74"
"phrase","13","alte departamente","39"
"phrase","14","alte departamente alexandria","39"
"phrase","15","departamente alexandria","39"
"phrase","16","interfata terti","39"
"phrase","17","interfata terti alte","39"
"phrase","18","terti alte","39"
"phrase","19","terti alte departamente","39"
"phrase","20","montator subansamble","14"
"phrase","21","sales advisor","12"
"phrase","22","afi cotroceni","11"
"phrase","23","advisor nespresso","10"
"phrase","24","advisor nespresso boutique","10"
"phrase","25","boutique afi","10"
"phrase","26","boutique afi cotroceni","10"
"phrase","27","collections with","10"
"phrase","28","english bucharest","10"
"phrase","29","nespresso boutique","10"
"phrase","30","nespresso boutique afi","10"
"phrase","31","sales advisor nespresso","10"
"phrase","32","sculer matriter","7"
"phrase","33","15th start","6"
"phrase","34","15th start date","6"
"phrase","35","client support","6"
"phrase","36","september 15th","6"
"phrase","37","september 15th start","6"
"phrase","38","start date","6"
"phrase","39","collections with accounting","5"
"phrase","40","collections with automotive","5"
"phrase","41","customer support","5"
"phrase","42","with accounting","5"
"phrase","43","with automotive","5"
"phrase","44","long parts","4"
"phrase","45","medic veterinar","4"
"phrase","46","montator subansamble long","4"
"phrase","47","operatori productie","4"
"phrase","48","perioada determinata","4"
"phrase","49","subansamble long","4"
"phrase","50","subansamble long parts","4"
