family_node_id	family_label	role_heads	authority_levels	venue	channel	product	population	task	industry	knowledge_domain	work_object	residual_policy
14659	Commissioned Armed Forces Officers	brigadier|captain|colonel|commander|general|leader|lieutenant|major|officer	none					armed_force_task	army_industry|aviation|military|transport		air_force_work_object|artillery_work_object|navy_work_object|squadron_work_object	specific
14662	Non Commissioned Armed Forces Officers	corporal|officer|sergeant|specialist	none|supervisor						army_industry|aviation|force_industry|military|transport	warfare_knowledge_domain		specific
14665	Armed Forces Occupations Other Ranks	engineer|interceptor|pilot|soldier|technician	none					repair	aviation|disposal_industry|military|transport	communications|intelligence_knowledge_domain	air_force_work_object|bomb_work_object	specific
14669	Legislators And Senior Officials	ambassador|commissioner|consul|councillor|counsellor|diplomat|general|governor|manager|mayor|member|minister|official|secretary|senator	chief|director|manager|none	office				administration|parliament_task	central_bank|government|interest_group_industry|public		embassy_work_object|state_work_object	specific
14674	Managing Directors And Chief Executives	chief|director|entrepreneur|executive|manager|officer	chief|director|manager	airport|facility			animal	employment_task|operating_task|service	corporate|public|social			specific
14677	Business Services And Administration Managers	administrator|coordinator|director|manager|officer|treasurer	manager|none	department|facility|factory|office|plant				acquisition_task|administration|defence_task|employee_task|equality_task|gambling_task|inclusion_task|manufacturing|planning|policy|procurement_task|programme|project|quality|safety|security|service|services|talent_task|training|treatment|volunteering_task	bank|chemical|corporate|environmental|eu|financial|health|responsibility_industry|social|strategic_industry	accounting|business|compliance|human_resources|information|tourism_knowledge_domain	branch_work_object|foundry_work_object|sustainability_work_object|volunteer_work_object	specific
14682	Sales Marketing And Development Managers	chief|director|manager|officer	manager|none	house	channel_channel|online		customers	advertising|aftersale_task|auction_task|clothing_task|communication_task|destination_task|development|innovation_task|licensing_task|promotion_task|research|sales|service	banking|category_industry|commercial|digital|insurance	business|communications|ict_knowledge_domain|marketing|public_relations|tourism_knowledge_domain	bid_work_object|brand_work_object|motor_vehicle_aftersale_work_object	specific
14687	Production Managers In Agriculture Forestry And Fisheries	forester|manager	manager|none	farm|site				harvesting_task|husbandry|production	agriculture|aquaculture|fisheries|forestry		forest_work_object	specific
14690	Manufacturing Mining Construction And Distribution Managers	contractor|coordinator|developer|director|distributor|general|manager|officer|superintendent	manager|none	airport|department|mine|office|plant|railway|site|warehouse	distribution	movie_product	animal|animals	clothing_task|division_task|equipment_task|export|finishing|heating_task|import|leather_wet_task|lighting_task|machine_task|management|manufacturing|operations|plumbing_task|processing|production|purchasing_task|quality|station_task	agricultural|agriculture|aviation|chemical|civil|coffee_industry|construction|dairy|electrical|electronic|green|industrial|inland_water_industry|intermodal_industry|leather_raw_industry|live_industry|logistics|maritime_water_industry|metal_industry|metallurgical_industry|mining|peripheral_industry|pharmaceutical|road|specialised|transport	engineering|telecommunications	confectionery_work_object|finished_leather_work_object|forecast_work_object|move_work_object|property_work_object|sewerage_system_work_object|supply_chain_work_object	specific
14695	Information And Communications Technology Service Managers	chief|manager|officer|vendor	chief|manager	centre|office				documentation|operations|project|relationship|service|support|transformation_task	digital|environmental	ict_knowledge_domain|information|it_knowledge_domain|technology|telecommunications		specific
14697	Professional Services Managers	administrator|chief|coordinator|dean|director|head|headteacher|manager|officer|principal|professional|publisher|teacher	director|manager|none	centre|court|department|facility|home|house|laboratory|office|primary_school|school|secondary_school|university			child|elderly|special_educational_needs|youth	airside_task|care|coordination|day_task|document_task|education_task|housing_task|institution_task|interpretation_task|management|pension_task|programme|protection|rescue|safety|scheme_task|service|services	artistic_industry|aviation|bank|claim_industry|clinical|code_industry|commercial|correctional|energy|environmental|finance_industry|informatics_industry|insurance|legal|library_industry|medical|public|social|sports|surveillance_industry	art|brokerage_firm_knowledge_domain|communications|deputy_knowledge_domain|museum_knowledge_domain|nursery_knowledge_domain|translation	airspace_work_object|credit_union_work_object|faculty_work_object|front_work_object	specific
14706	Hotel And Restaurant Managers	manager	manager	hotel|restaurant|room			guests	accommodation_task|division_task|entertainment_task	hospitality		shift_work_object	specific
14709	Retail And Wholesale Trade Managers	hand|manager	manager	department|garden|kitchen|shop|supermarket_venue	retail		customers|pet	account|ammunition_task|building|clothing_task|equipment_task|sales|sporting_task|station_task|telecommunication_task	automotive|domestic_industry|medical|optical_industry|orthopaedic_industry|photography|press_industry|regional_industry|store_industry	audiology_knowledge_domain|music|telecommunications	antique_work_object|bathroom_work_object|computer_software_work_object|confectionery_work_object|craft_work_object|drugstore_work_object|second_work_object	specific
14711	Other Services Managers	curator|director|manager|operator	director|manager|none	centre|facility|laundry|salon|zoo	call_centre		customers|tourist	betting_task|camping_task|cleaning|gambling_task|performance|production|services	beauty|cultural|recreational_industry|sports|transport	information|travel	garage_work_object|spa_work_object|tour_work_object	residual_when_no_specific_family
14716	Physical And Earth Science Professionals	astronomer|chemist|climatologist|cosmologist|forecaster|geochemist|geologist|geophysicist|hydrogeologist|hydrologist|logger|meteorologist|metrologist|mineralogist|oceanographer|palaeontologist|physicist|scientist|seismologist|specialist|tester	none	laboratory|mine				application_task|exploration_task|research|test	analytical_industry|aviation|chemical|cosmetic_industry|environmental|physical|sensory_industry	chemistry|geology|science	fragrance_work_object	specific
