role_head,alias,note
adviser,advisor,Variant centralization 2026-08-28: American English alias to canonical British English adviser.
analyst,analist,Leaf review 2026-08-28: Romanian alias to canonical analyst so knowledge mode stays centralized.
counsellor,counselor,Variant centralization 2026-08-28: American English alias to canonical British English counsellor.
labourer,laborer,Variant centralization 2026-08-28: American English alias to canonical British English labourer.
mechanic,mecanic,Leaf review 2026-08-28: Romanian alias to canonical mechanic so technical mode stays centralized.
modeller,modeler,Variant centralization 2026-08-28: American English alias to canonical British English modeller.
architect,arhitect,Alias centralization 2026-08-28: Romanian alias to canonical architect.
assistant,asistent,Alias centralization 2026-08-28: Romanian alias to canonical assistant.
bartender,barman,Alias centralization 2026-08-28: Romanian alias to canonical bartender.
cook,bucatar,Alias centralization 2026-08-28: Romanian alias to canonical cook.
cashier,casier,Alias centralization 2026-08-28: Romanian alias to canonical cashier.
researcher,cercetator,Alias centralization 2026-08-28: Romanian alias to canonical researcher.
adviser,consilier,Alias centralization 2026-08-28: Romanian alias to canonical British English adviser.
accountant,contabil,Alias centralization 2026-08-28: Romanian alias to canonical accountant.
coordinator,coordonator,Alias centralization 2026-08-28: Romanian alias to canonical coordinator.
developer,dezvoltator,Alias centralization 2026-08-28: Romanian alias to canonical developer.
dispatcher,dispecer,Alias centralization 2026-08-28: Romanian alias to canonical dispatcher.
dispatcher,expeditor,Alias centralization 2026-08-28: Romanian alias to canonical dispatcher.
clerk,gestionar,Alias centralization 2026-08-28: Romanian alias to canonical clerk.
engineer,inginer,Alias centralization 2026-08-28: Romanian alias to canonical engineer.
installer,instalator,Alias centralization 2026-08-28: Romanian alias to canonical installer.
worker,lucrator,Alias centralization 2026-08-28: Romanian alias to canonical worker.
doctor,medic,Alias centralization 2026-08-28: Romanian alias to canonical doctor.
assembler,montator,Alias centralization 2026-08-28: Romanian alias to canonical assembler.
waiter,ospatar,Alias centralization 2026-08-28: Romanian alias to canonical waiter.
planner,planificator,Alias centralization 2026-08-28: Romanian alias to canonical planner.
programmer,programator,Alias centralization 2026-08-28: Romanian alias to canonical programmer.
receptionist,receptioner,Alias centralization 2026-08-28: Romanian alias to canonical receptionist.
representative,reprezentant,Alias centralization 2026-08-28: Romanian alias to canonical representative.
supervisor,responsabil,Alias centralization 2026-08-28: Romanian alias to canonical supervisor.
secretary,secretar,Alias centralization 2026-08-28: Romanian alias to canonical secretary.
chief,sef,Alias centralization 2026-08-28: Romanian alias to canonical chief.
driver,sofer,Alias centralization 2026-08-28: Romanian alias to canonical driver.
driver,conducator auto,Manual promotion 2026-08-31: Romanian exact role-head phrase resolves to canonical driver.
driver,conducător auto,Manual promotion 2026-08-31: Romanian exact role-head phrase resolves to canonical driver.
driver,stivuitorist,Alias centralization 2026-08-28: Romanian alias to canonical driver.
welder,sudor,Alias centralization 2026-08-28: Romanian alias to canonical welder.
technician,tehnician,Alias centralization 2026-08-28: Romanian alias to canonical technician.
translator,traducator,Alias centralization 2026-08-28: Romanian alias to canonical translator.
seller,vanzator,Alias centralization 2026-08-28: Romanian alias to canonical seller.
seller,vanzatoare,Alias centralization 2026-08-28: Romanian alias to canonical seller.
painter,vopsitor,Alias centralization 2026-08-28: Romanian alias to canonical painter.
repairer,vulcanizator,Alias centralization 2026-08-28: Romanian alias to canonical repairer.
architect,építész,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
architect,arhitekt,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
bartender,csapos,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
bartender,baarmen,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
cashier,kassiir,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
cook,szakács,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
cook,kokk,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
developer,fejlesztő,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
developer,arendaja,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
dispatcher,diszpécser,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
dispatcher,dispetšer,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
doctor,orvos,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
doctor,arst,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
engineer,mérnök,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
engineer,insener,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
mechanic,mehaanik,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
programmer,programozó,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
programmer,programmeerija,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
representative,esindaja,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
researcher,kutató,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
secretary,titkár,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
secretary,sekretär,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
seller,eladó,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
technician,technikus,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
technician,tehnik,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
translator,fordító,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
translator,tõlkija,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
waiter,pincér,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
waiter,kelner,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
welder,hegesztő,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
welder,keevitaja,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
actor,színész,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
actor,näitleja,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
actress,actriță,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
actress,színésznő,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
actress,näitlejanna,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
acupuncturist,akupunktőr,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
acupuncturist,akupunkturist,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
agronomist,agronom,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
agronomist,agronómus,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
agronomist,agronoom,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
ambassador,ambasador,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
ambassador,nagykövet,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
ambassador,suursaadik,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
analyst,elemző,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
analyst,analüütik,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
animator,animaator,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
anthropologist,antropolog,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
anthropologist,antropológus,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
anthropologist,antropoloog,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
archaeologist,arheolog,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
archaeologist,régész,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
archaeologist,arheoloog,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
archivist,arhivist,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
archivist,levéltáros,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
archivist,arhivaar,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
aromatherapist,aromaterapeut,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
aromatherapist,aromaterapeuta,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
aromatherapist,aroomiterapeut,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
artist,művész,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
artist,kunstnik,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
assistant,asszisztens,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
assistant,assistent,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
astrologer,astrolog,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
astrologer,asztrológus,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
astrologer,astroloog,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
astronomer,astronom,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
astronomer,csillagász,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
astronomer,astronoom,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
audiologist,audiolog,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
audiologist,audiológus,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
audiologist,audioloog,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
babysitter,bébiszitter,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
banker,bancher,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
banker,bankár,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
banker,pankur,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
barber,bărbier,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
barber,borbély,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
barber,habemees,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
behaviourist,behaviorist,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
biochemist,biochimist,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
biochemist,biokémikus,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
biochemist,biokeemik,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
biologist,biolog,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
biologist,biológus,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
biologist,bioloog,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
biophysicist,biofizician,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
biophysicist,biofizikus,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
biophysicist,biofüüsik,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
blogger,blogija,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
botanist,botanikus,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
botanist,botaanik,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
broker,alkusz,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
broker,maakler,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
butcher,măcelar,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
butcher,hentes,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
butcher,lihunik,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
buyer,vevő,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
cartographer,cartograf,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
cartographer,térképész,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
cartographer,kartograaf,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
cartoonist,caricaturist,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
cartoonist,karikaturista,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
cartoonist,karikaturist,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
ceramicist,ceramist,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
ceramicist,keramikus,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
ceramicist,keraamik,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
chemist,vegyész,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
chemist,keemik,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
chiropractor,kiropraktik,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
chocolatier,ciocolatier,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
choreographer,coregraf,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
choreographer,koreográfus,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
choreographer,koreograaf,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
chromatographer,cromatograf,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
chromatographer,kromatograaf,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
cleaner,takarító,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
cleaner,puhastaja,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
coder,kódoló,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
coder,kodeerija,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
collector,colector,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
collector,gyűjtő,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
collector,koguja,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
communicator,comunicator,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
communicator,kommunikátor,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
communicator,kommunikaator,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
composer,compozitor,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
composer,zeneszerző,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
composer,helilooja,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
configurator,konfiguráló,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
configurator,konfigureerija,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
consultant,konsultant,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
copywriter,szövegíró,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
cosmologist,cosmolog,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
cosmologist,kozmológus,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
cosmologist,kosmoloog,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
criminologist,criminolog,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
criminologist,kriminológus,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
criminologist,kriminoloog,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
curator,kurátor,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
curator,kuraator,Manual promotion 2026-08-29: semantically reviewed safe exact role-head equivalent from role_head_equivalence review.
